,match_id,season,date,home_id,away_id,home_goals,away_goals
443,674472,2009/2010,2010-02-21,8697,8178,2,2
444,674473,2009/2010,2010-02-21,8721,10189,2,1
445,674474,2009/2010,2010-02-21,8358,8177,0,3
446,674475,2009/2010,2010-02-20,8722,10269,1,5
447,674476,2009/2010,2010-02-20,8165,9823,1,1
448,674477,2009/2010,2010-02-20,9905,9911,0,0
449,674478,2009/2010,2010-02-19,8226,9788,2,2
450,674479,2009/2010,2010-02-28,9823,9790,1,0
451,674480,2009/2010,2010-02-27,8178,8722,0,0
452,674481,2009/2010,2010-02-27,10269,9810,2,1
453,674482,2009/2010,2010-02-27,8177,8226,0,2
454,674483,2009/2010,2010-02-26,10189,9789,2,1
455,674484,2009/2010,2010-02-27,9911,8165,0,0
456,674485,2009/2010,2010-02-28,9904,8721,0,1
457,674486,2009/2010,2010-02-27,9905,8697,1,2
458,674487,2009/2010,2010-02-27,9788,8358,1,1
459,674488,2009/2010,2010-03-06,9790,8177,1,0
460,674489,2009/2010,2010-03-06,9789,9788,3,0
461,674490,2009/2010,2010-03-06,8697,10269,2,2
462,674491,2009/2010,2010-03-06,8721,9911,4,1
463,674492,2009/2010,2010-03-06,8358,9904,1,2
464,674493,2009/2010,2010-03-06,9810,10189,1,4
465,674494,2009/2010,2010-03-06,8722,9823,1,1
466,674495,2009/2010,2010-03-07,8165,8178,3,2
467,674496,2009/2010,2010-03-07,8226,9905,0,1
468,674497,2009/2010,2010-03-13,9823,8358,2,1
469,674498,2009/2010,2010-03-14,8178,9790,4,2
470,674499,2009/2010,2010-03-13,8177,8165,1,2
471,674500,2009/2010,2010-03-12,10189,10269,2,1
472,674501,2009/2010,2010-03-13,9911,9789,1,4
473,674502,2009/2010,2010-03-13,9904,9810,2,1
474,674503,2009/2010,2010-03-13,9905,8722,1,0
475,674504,2009/2010,2010-03-13,9788,8721,0,4
476,674505,2009/2010,2010-03-14,8226,8697,0,1
477,674506,2009/2010,2010-03-21,9790,10189,2,2
478,674507,2009/2010,2010-03-20,9789,8178,3,0
479,674508,2009/2010,2010-03-20,10269,9904,2,0
480,674509,2009/2010,2010-03-20,8697,9911,3,2
481,674510,2009/2010,2010-03-21,8721,8177,1,5
482,674511,2009/2010,2010-03-20,8358,9905,1,0
483,674512,2009/2010,2010-03-20,9810,9823,2,1
484,674516,2009/2010,2010-03-19,8722,9788,1,1
485,674517,2009/2010,2010-03-20,8165,8226,0,0
486,674518,2009/2010,2010-03-27,9823,10269,1,2
487,674519,2009/2010,2010-03-27,8178,10189,0,2
488,674520,2009/2010,2010-03-27,8697,8165,4,2
489,674521,2009/2010,2010-03-27,8177,9789,0,0
490,674522,2009/2010,2010-03-26,9911,9810,1,2
491,674523,2009/2010,2010-03-27,9904,8722,1,4
492,674524,2009/2010,2010-03-27,9905,8721,0,2
493,674525,2009/2010,2010-03-28,9788,9790,1,0
494,674526,2009/2010,2010-03-28,8226,8358,1,1
495,674527,2009/2010,2010-04-04,9790,9904,0,0
